theta1,theta2,omega1,omega2,t
0.240052,1.371997,-4.273426,-6.654221,4.140000
0.160207,1.228662,-3.680326,-7.680241,4.160000
0.094116,1.064672,-2.896111,-8.724697,4.180000
0.045697,0.879259,-1.912610,-9.832258,4.200000
0.018902,0.670539,-0.738575,-11.064394,4.220000
0.016878,0.435822,0.531696,-12.411006,4.240000
0.038230,0.175765,1.490493,-13.478797,4.260000
0.069242,-0.095425,1.408182,-13.416136,4.280000
0.087721,-0.353492,0.340933,-12.290929,4.300000
0.081330,-0.585811,-0.979183,-10.948499,4.320000
0.049366,-0.792281,-2.188168,-9.720639,4.340000
-0.004900,-0.975343,-3.205033,-8.597464,4.360000
-0.077497,-1.136443,-4.021819,-7.514933,4.380000
-0.164486,-1.275918,-4.646076,-6.430372,4.400000
-0.262156,-1.393543,-5.093168,-5.329596,4.420000
-0.367182,-1.489036,-5.386030,-4.219470,4.440000
-0.476759,-1.562380,-5.553426,-3.118179,4.460000
-0.588689,-1.613963,-5.626379,-2.046807,4.480000
-0.701381,-1.644577,-5.634112,-1.023956,4.500000
-0.813780,-1.655343,-5.600351,-0.064167,4.520000
-0.925221,-1.647649,-5.539885,0.819726,4.540000
-1.035214,-1.623172,-5.454516,1.610416,4.560000
-1.143134,-1.584051,-5.328283,2.277572,4.580000
-1.247841,-1.533207,-5.126187,2.774162,4.600000
-1.347399,-1.474543,-4.808055,3.054298,4.620000
-1.439289,-1.412509,-4.361137,3.116694,4.640000
-1.521202,-1.350899,-3.818823,3.026945,4.660000
-1.591776,-1.291816,-3.236033,2.878469,4.680000
-1.650657,-1.235675,-2.654348,2.741119,4.700000
-1.698084,-1.181874,-2.092111,2.647348,4.720000
-1.734488,-1.129445,-1.551653,2.603458,4.740000
-1.760262,-1.077447,-1.027853,2.602642,4.760000
-1.775664,-1.025134,-0.513230,2.632676,4.780000
-1.780802,-0.972029,-0.000291,2.679351,4.800000
-1.775642,-0.917949,0.517521,2.727677,4.820000
-1.760033,-0.863014,1.045483,2.762103,4.840000
-1.733729,-0.807665,1.587540,2.766384,4.860000
-1.696419,-0.752674,2.146434,2.723393,4.880000
-1.647746,-0.699165,2.724073,2.615006,4.900000
-1.587319,-0.648637,3.322227,2.422127,4.920000
-1.514703,-0.602976,3.943647,2.124831,4.940000
-1.429384,-0.564476,4.593659,1.702631,4.960000
-1.330703,-0.535840,5.281963,1.135145,4.980000
-1.217752,-0.520160,6.023408,0.404806,5.000000
-1.089306,-0.520769,6.833056,-0.491707,5.020000
-0.944019,-0.540630,7.700509,-1.502030,5.040000
-0.781579,-0.580245,8.515740,-2.409277,5.060000
-0.605606,-0.633154,9.001073,-2.744584,5.080000
-0.425294,-0.683642,8.945305,-2.157895,5.100000
-0.250341,-0.714906,8.511629,-0.896194,5.120000
-0.085623,-0.717912,7.951159,0.611646,5.140000
0.067513,-0.690364,7.357779,2.136539,5.160000
0.208420,-0.632921,6.723108,3.592828,5.180000
0.335919,-0.547338,6.011005,4.947015,5.200000
0.448124,-0.435807,5.189291,6.187233,5.220000
0.542633,-0.300564,4.239699,7.321267,5.240000
0.616833,-0.143466,3.159296,8.379607,5.260000
0.668216,0.034436,1.962332,9.409678,5.280000
0.694868,0.232950,0.701286,10.438719,5.300000
0.696902,0.451327,-0.454535,11.355274,5.320000
0.679919,0.683739,-1.128912,11.759845,5.340000
0.657046,0.915830,-1.041994,11.321074,5.360000
0.641554,1.133088,-0.464462,10.364196,5.380000
0.638999,1.330102,0.203235,9.348893,5.400000
0.649064,1.507836,0.783110,8.446514,5.420000
0.669454,1.668804,1.234045,7.669367,5.440000
0.697574,1.815280,1.557648,6.992742,5.460000
0.730987,1.949023,1.765374,6.392847,5.480000
0.767503,2.071395,1.870149,5.853383,5.500000
0.805191,2.183494,1.884619,5.364416,5.520000
0.842366,2.286268,1.820820,4.920042,5.540000
0.877577,2.380567,1.690025,4.516388,5.560000
0.909589,2.467173,1.502576,4.150177,5.580000
0.937364,2.546800,1.267702,3.817806,5.600000
0.960035,2.620082,0.993390,3.514833,5.620000
0.976882,2.687553,0.686298,3.235730,5.640000
0.987304,2.749626,0.351731,2.973816,5.660000
0.990794,2.806569,-0.006351,2.721275,5.680000
0.986911,2.858481,-0.385286,2.469218,5.700000
0.975254,2.905275,-0.783623,2.207748,5.720000
0.955440,2.946656,-1.200992,1.926052,5.740000
0.927084,2.982105,-1.637869,1.612535,5.760000
0.889788,3.010865,-2.095218,1.255096,5.780000
0.843133,3.031935,-2.573922,0.841655,5.800000
0.786689,3.044083,-3.073960,0.361071,5.820000
0.720045,3.045871,-3.593298,-0.195455,5.840000
0.642862,3.035726,-4.126605,-0.832502,5.860000
0.554952,3.012043,-4.664039,-1.548408,5.880000
